product_id,name,category,brand,price
7,Chanel Coco Noir Eau De,fragrances,Chanel,129.99
8,Dior J'adore,fragrances,Dior,89.99
9,Dolce Shine Eau de,fragrances,Dolce & Gabbana,69.99
10,Gucci Bloom Eau de,fragrances,Gucci,79.99
11,Annibale Colombo Bed,furniture,Annibale Colombo,1899.99
12,Annibale Colombo Sofa,furniture,Annibale Colombo,2499.99
13,Bedside Table African Cherry,furniture,Furniture Co.,299.99
14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,499.99
15,Wooden Bathroom Sink With Mirror,furniture,Bath Trends,799.99
43,Decoration Swing,home-decoration,,59.99
66,Microwave Oven,kitchen-accessories,,89.99
78,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99
79,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99
80,Huawei Matebook X Pro,laptops,Huawei,1399.99
81,Lenovo Yoga 920,laptops,Lenovo,1099.99
82,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99
88,Nike Air Jordan 1 Red And Black,mens-shoes,Nike,149.99
89,Nike Baseball Cleats,mens-shoes,Nike,79.99
90,Puma Future Rider Trainers,mens-shoes,Puma,89.99
91,Sports Sneakers Off White & Red,mens-shoes,Off White,119.99
92,Sports Sneakers Off White Red,mens-shoes,Off White,109.99
93,Brown Leather Belt Watch,mens-watches,Fashion Timepieces,89.99
94,Longines Master Collection,mens-watches,Longines,1499.99
95,Rolex Cellini Date Black Dial,mens-watches,Rolex,8999.99
96,Rolex Cellini Moonphase,mens-watches,Rolex,12999.99
97,Rolex Datejust,mens-watches,Rolex,10999.99
98,Rolex Submariner Watch,mens-watches,Rolex,13999.99
99,Amazon Echo Plus,mobile-accessories,Amazon,99.99
100,Apple Airpods,mobile-accessories,Apple,129.99
101,Apple AirPods Max Silver,mobile-accessories,Apple,549.99
102,Apple Airpower Wireless Charger,mobile-accessories,Apple,79.99
103,Apple HomePod Mini Cosmic Grey,mobile-accessories,Apple,99.99
105,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99
106,Apple Watch Series 4 Gold,mobile-accessories,Apple,349.99
112,TV Studio Camera Pedestal,mobile-accessories,ProVision,499.99
113,Generic Motorcycle,motorcycle,Generic Motors,3999.99
114,Kawasaki Z800,motorcycle,Kawasaki,8999.99
115,MotoGP CI.H1,motorcycle,MotoGP,14999.99
116,Scooter Motorcycle,motorcycle,ScootMaster,2999.99
117,Sportbike Motorcycle,motorcycle,SpeedMaster,7499.99
121,iPhone 5s,smartphones,Apple,199.99
122,iPhone 6,smartphones,Apple,299.99
123,iPhone 13 Pro,smartphones,Apple,1099.99
124,iPhone X,smartphones,Apple,899.99
125,Oppo A57,smartphones,Oppo,249.99
126,Oppo F19 Pro Plus,smartphones,Oppo,399.99
127,Oppo K1,smartphones,Oppo,299.99
128,Realme C35,smartphones,Realme,149.99
129,Realme X,smartphones,Realme,299.99
130,Realme XT,smartphones,Realme,349.99
131,Samsung Galaxy S7,smartphones,Samsung,299.99
132,Samsung Galaxy S8,smartphones,Samsung,499.99
133,Samsung Galaxy S10,smartphones,Samsung,699.99
134,Vivo S1,smartphones,Vivo,249.99
135,Vivo V9,smartphones,Vivo,299.99
136,Vivo X21,smartphones,Vivo,499.99
159,iPad Mini 2021 Starlight,tablets,Apple,499.99
160,Samsung Galaxy Tab S8 Plus Grey,tablets,Samsung,599.99
161,Samsung Galaxy Tab White,tablets,Samsung,349.99
167,300 Touring,vehicle,Chrysler,28999.99
168,Charger SXT RWD,vehicle,Dodge,32999.99
169,Dodge Hornet GT Plus,vehicle,Dodge,24999.99
170,Durango SXT RWD,vehicle,Dodge,36999.99
171,Pacifica Touring,vehicle,Chrysler,31999.99
173,Heshe Women's Leather Bag,womens-bags,Heshe,129.99
174,Prada Women Bag,womens-bags,Prada,599.99
176,Women Handbag Black,womens-bags,Elegance Collection,59.99
177,Black Women's Gown,womens-dresses,,129.99
178,Corset Leather With Skirt,womens-dresses,,89.99
179,Corset With Black Skirt,womens-dresses,,79.99
181,Marni Red & Black Suit,womens-dresses,,179.99
186,Calvin Klein Heel Shoes,womens-shoes,Calvin Klein,79.99
190,IWC Ingenieur Automatic Steel,womens-watches,IWC,4999.99
191,Rolex Cellini Moonphase,womens-watches,Rolex,15999.99
192,Rolex Datejust Women,womens-watches,Rolex,10999.99
193,Watch Gold for Women,womens-watches,Fashion Gold,799.99
194,Women's Wrist Watch,womens-watches,Fashion Co.,129.99
